slug,date,title,summary,body_file,image_file
news-dummy-0002,2025-09-18,モンタナサファイアの在庫を調整しました,一部の石を調整し、在庫を更新しています。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0003,2025-09-15,作業台のライトを交換しました,光の質が安定し研磨効率が向上しました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0004,2025-09-12,冬季の作業環境について,温度管理のため設備を少し見直しました。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0005,2025-09-10,写真撮影テストを実施しました,新しいセッティングで光の入り方を確認しました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0006,2025-09-08,ギャラリー構成の調整を行いました,カテゴリの並び順を微調整しました。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0007,2025-09-05,研磨メモを追加しました,作業途中の観察ポイントを整理しました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0008,2025-09-02,掲載写真をリサイズしました,ロード速度改善のため軽量化しました。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0009,2025-08-30,新しい撮影小物を導入しました,反射の調整がしやすくなりました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0010,2025-08-28,研磨スケジュールの調整を行いました,制作の効率化に向けて日程を見直しました。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0011,2025-08-25,サイト全体の色味を微調整しました,背景色とリンク色の統一を行いました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0012,2025-08-22,研磨工程の記録写真を追加しました,作業の比較検証がしやすくなりました。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0013,2025-08-20,梱包材の見直しを行いました,より安定した配送を目指して変更しました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0014,2025-08-18,デザイン案を整理しました,次の制作分の構成を固めました。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0015,2025-08-15,作業室の照明を再調整しました,均一な光になるよう位置を微調整しました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
site-renewal-20251210,2024-12-10,公式サイトをリニューアルしました,公式サイトをリニューアルしました。ギャラリー見てね,data/news_body/news/site-renewal-20251210.html,news/images/DSC_1796.jpg
gallery-updated-20251212,2024-12-12,ギャラリーに写真を追加しました,新しい写真を追加したよ！,data/news_body/news/gallery-updated-20251212.html,news/images/DSC_1777.jpg
holiday-20251231,2024-12-31,おやすみです,2025年12/31までよろしくお願いいたします。,data/news_body/news/holiday-20251231.html,news/images/DSC_1777.jpg
news-dummy-0001,2024-09-20,研磨作業日誌を更新しました,今回のカット工程を写真とともにまとめました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0002,2024-09-18,モンタナサファイアの在庫を調整しました,一部の石を調整し、在庫を更新しています。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0003,2024-09-15,作業台のライトを交換しました,光の質が安定し研磨効率が向上しました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0004,2024-09-12,冬季の作業環境について,温度管理のため設備を少し見直しました。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0005,2024-09-10,写真撮影テストを実施しました,新しいセッティングで光の入り方を確認しました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0006,2024-09-08,ギャラリー構成の調整を行いました,カテゴリの並び順を微調整しました。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0007,2024-09-05,研磨メモを追加しました,作業途中の観察ポイントを整理しました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0008,2024-09-02,掲載写真をリサイズしました,ロード速度改善のため軽量化しました。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0009,2024-08-30,新しい撮影小物を導入しました,反射の調整がしやすくなりました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0010,2024-08-28,研磨スケジュールの調整を行いました,制作の効率化に向けて日程を見直しました。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0011,2024-08-25,サイト全体の色味を微調整しました,背景色とリンク色の統一を行いました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0012,2024-08-22,研磨工程の記録写真を追加しました,作業の比較検証がしやすくなりました。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0013,2024-08-20,梱包材の見直しを行いました,より安定した配送を目指して変更しました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg
news-dummy-0014,2024-08-18,デザイン案を整理しました,次の制作分の構成を固めました。,data/news_body/news/dummy.html,news/images/DSC_1796.jpg
news-dummy-0015,2024-08-15,作業室の照明を再調整しました,均一な光になるよう位置を微調整しました。,data/news_body/news/dummy.html,news/images/DSC_1777.jpg

